Date,store,product,base,number_sold,year
2018-01-01,0,0,835.8773270033207,845,2018
2018-01-02,0,0,836.7417886892982,828,2018
2018-01-03,0,0,837.6593575476949,832,2018
2018-01-04,0,0,838.5792988499111,859,2018
2018-01-05,0,0,839.4987178978757,843,2018
2018-01-06,0,0,840.4171972902305,833,2018
2018-01-07,0,0,841.3344478972725,846,2018
2018-01-08,0,0,842.2501873085687,818,2018
2018-01-09,0,0,843.1641336309286,857,2018
2018-01-10,0,0,844.0760052600722,847,2018
2018-01-11,0,0,844.9855209618601,831,2018
2018-01-12,0,0,845.8923999697261,849,2018
2018-01-13,0,0,846.7963620830714,829,2018
2018-01-14,0,0,847.6971277657914,848,2018
2018-01-15,0,0,848.5944182448446,849,2018
2018-01-16,0,0,849.4879556088115,861,2018
2018-01-17,0,0,850.3774629064006,835,2018
2018-01-18,0,0,851.2626642448473,855,2018
2018-01-19,0,0,852.1432848881623,843,2018
2018-01-20,0,0,853.019051355176,868,2018
2018-01-21,0,0,853.8896915173352,838,2018
2018-01-22,0,0,854.7549346961986,860,2018
2018-01-23,0,0,855.614511760585,853,2018
2018-01-24,0,0,856.4681552233249,851,2018
2018-01-25,0,0,857.3155993375667,865,2018
2018-01-26,0,0,858.1565801925868,856,2018
2018-01-27,0,0,858.9908358090586,875,2018
2018-01-28,0,0,859.818106233729,858,2018
2018-01-29,0,0,860.6381336334551,873,2018
2018-01-30,0,0,861.4506623885541,866,2018
2018-01-31,0,0,862.2554391854154,858,2018
2018-02-01,0,0,863.0522131083329,862,2018
2018-02-02,0,0,863.8407357305044,863,2018
2018-02-03,0,0,864.6207612041561,878,2018
2018-02-04,0,0,865.3920463497428,866,2018
2018-02-05,0,0,866.1543507441804,856,2018
2018-02-06,0,0,866.9074368080634,872,2018
2018-02-07,0,0,867.6510698918238,873,2018
2018-02-08,0,0,868.3850183607868,865,2018
2018-02-09,0,0,869.1090536790801,863,2018
2018-02-10,0,0,869.8229504923527,850,2018
2018-02-11,0,0,870.5264867092625,865,2018
2018-02-12,0,0,871.2194435816903,870,2018
2018-02-13,0,0,871.9016057836385,876,2018
2018-02-14,0,0,872.5727614887765,892,2018
2018-02-15,0,0,873.2327024465912,862,2018
2018-02-16,0,0,873.8812240571069,883,2018
2018-02-17,0,0,874.5181254441334,862,2018
2018-02-18,0,0,875.1432095270097,871,2018
2018-02-19,0,0,875.7562830908041,894,2018
2018-02-20,0,0,876.3571568549386,867,2018
2018-02-21,0,0,876.9456455402009,879,2018
2018-02-22,0,0,877.5215679341154,882,2018
2018-02-23,0,0,878.0847469546359,853,2018
2018-02-24,0,0,878.6350097121345,886,2018
2018-02-25,0,0,879.1721875696547,879,2018
2018-02-26,0,0,879.696116201398,870,2018
2018-02-27,0,0,880.2066356494222,884,2018
2018-02-28,0,0,880.7035903785186,870,2018
2018-03-01,0,0,881.1868293292491,874,2018
2018-03-02,0,0,881.6562059691136,866,2018
2018-03-03,0,0,882.111578341829,884,2018
2018-03-04,0,0,882.5528091146971,881,2018
2018-03-05,0,0,882.9797656240404,889,2018
2018-03-06,0,0,883.3923199186867,890,2018
2018-03-07,0,0,883.7903488014865,885,2018
2018-03-08,0,0,884.1737338688436,878,2018
2018-03-09,0,0,884.5423615482473,880,2018
2018-03-10,0,0,884.8961231337872,882,2018
2018-03-11,0,0,885.2349148196446,879,2018
2018-03-12,0,0,885.558637731542,893,2018
2018-03-13,0,0,885.8671979561457,921,2018
2018-03-14,0,0,886.1605065684098,888,2018
2018-03-15,0,0,886.4384796568564,887,2018
2018-03-16,0,0,886.7010383467829,872,2018
2018-03-17,0,0,886.9481088213938,885,2018
2018-03-18,0,0,887.179622340853,897,2018
2018-03-19,0,0,887.3955152592533,888,2018
2018-03-20,0,0,887.5957290395032,898,2018
2018-03-21,0,0,887.7802102661302,871,2018
